Name,Age,Salary,Department
Alice,25,50000,HR
Bob,,60000,IT
Charlie,35,,Finance
David,40,80000,IT
Emma,29,70000,HR
Frank,31,65000,Marketing
Grace,27,58000,Finance
Henry,,72000,IT
Isabella,38,85000,HR
Jack,45,92000,Management
Kevin,33,67000,Marketing
Lily,26,54000,Finance
Michael,41,,Management
Nina,30,61000,HR
Oliver,36,76000,IT
Peter,28,59000,Marketing
Queenie,,68000,Finance
Ryan,39,83000,Management
Sophia,24,49000,HR
Thomas,32,71000,IT
Uma,37,79000,Finance
Victor,43,91000,Management
William,29,,Marketing
Xavier,34,73000,IT
Yasmine,27,56000,HR
Zack,40,88000,Management
Aaron,31,64000,Finance
Bella,,62000,Marketing
Chris,35,75000,IT
Diana,26,53000,HR
